;OptOmrNr;Optagelsesområder; Antal Optagne ;; Antal ansøgere ;;Adgangskvotient;
;;; optagne ; standby ; total ; 1. prioritet ;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
1550;17015;Biomedicin, Odense M, Studiestart: sommerstart; 118 ; -   ; 528 ; 84 ;8,3;
1560;17020;Datalogi, Odense M, Studiestart: sommerstart; 70 ; -   ; 205 ; 72 ;Alle optaget, ledige pladser;
1570;17025;Farmaci, Odense M, Studiestart: sommerstart; 118 ; -   ; 516 ; 105 ;Alle optaget, ledige pladser;
1580;17040;Idræt og sundhed, Odense M, Studiestart: sommerstart; 132 ; -   ; 293 ; 115 ;Alle optaget, ledige pladser;
1590;17050;Matematik-økonomi, Odense M, Studiestart: sommerstart; 51 ; -   ; 146 ; 40 ;5,3;
1600;17064;Matematik og anvendt matematik, Odense M, Studiestart: sommerstart; 53 ; -   ; 130 ; 55 ;Alle optaget, ledige pladser;
1610;17070;Fysik, Odense M, Studiestart: sommerstart; 29 ; -   ; 85 ; 31 ;Alle optaget, ledige pladser;
1620;17080;Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart; 57 ; -   ; 273 ; 38 ;Alle optaget, ledige pladser;
1630;17085;Kemi, Odense M, Studiestart: sommerstart; 24 ; -   ; 74 ; 24 ;Alle optaget, ledige pladser;
1640;17110;Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart; 112 ; 10 ; 363 ; 145 ;9,9;9,4
1650;17115;Medicin, Odense M (kandidat i Odense), Studiestart: sommer- og vinterstart; 338 ; 20 ; 2.852 ; 779 ;10,4;10,2
1660;17117;Medicin, Odense M (kandidat i Esbjerg), Studiestart: sommerstart; 32 ; 5 ; 1.389 ; 126 ;10,3;10,2
1670;17120;Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart; 47 ; -   ; 138 ; 30 ;Alle optaget, ledige pladser;
1680;17200;Psykologi, Odense M, Studiestart: sommerstart; 152 ; 10 ; 2.026 ; 638 ;10,5;10,4
1690;17210;Dansk, Odense M, Studiestart: sommerstart; 52 ; -   ; 189 ; 44 ;Alle optaget, ledige pladser;
1700;17215;Engelsk, Odense M, Studiestart: sommerstart; 77 ; -   ; 245 ; 71 ;Alle optaget, ledige pladser;
1710;17217;Amerikanske Studier, Odense M, Studiestart: sommerstart; 53 ; -   ; 177 ; 46 ;Alle optaget, ledige pladser;
1720;17220;Filosofi, Odense M, Studiestart: sommerstart; 44 ; -   ; 172 ; 36 ;Alle optaget, ledige pladser;
1730;17230;Oldtidskundskab, Odense M, Studiestart: sommerstart; 26 ; -   ; 87 ; 27 ;5,1;
1740;17235;Historie, Odense M, Studiestart: sommerstart; 107 ; -   ; 330 ; 93 ;4,1;
1750;17238;Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart; 29 ; -   ; 106 ; 31 ;Alle optaget, ledige pladser;
1760;17240;Litteraturvidenskab, Odense M, Studiestart: sommerstart; 50 ; -   ; 134 ; 40 ;7,8;
1770;17245;Audiologi, Odense M, Studiestart: sommerstart; 39 ; -   ; 125 ; 35 ;Alle optaget;
1780;17247;Audiologopædi, Odense M, Studiestart: sommerstart; 56 ; -   ; 170 ; 57 ;8,1;
1790;17250;Medievidenskab, Odense M, Studiestart: sommerstart; 100 ; -   ; 319 ; 81 ;8,1;
1800;17260;Religionsstudier, Odense M, Studiestart: sommerstart; 18 ; -   ; 104 ; 14 ;Alle optaget, ledige pladser;
1810;17270;Tysk, Odense M, Studiestart: sommerstart; 12 ; -   ; 39 ; 12 ;Alle optaget, ledige pladser;
1820;17310;International virksomhedskommunikation i 2 fremmedsprog, Odense M, Studiestart: sommerstart; 12 ; -   ; 52 ; 8 ;Alle optaget, ledige pladser;
1830;17312;International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart; 53 ; -   ; 204 ; 51 ;Alle optaget, ledige pladser;
1840;17316;International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart; 10 ; -   ; 33 ; 8 ;Alle optaget, ledige pladser;
1850;17410;Jura, Odense M, Studiestart: sommerstart; 205 ; -   ; 1.301 ; 355 ;8,9;
1860;17412;Samfundsfag, Odense M, Studiestart: sommerstart; 31 ; -   ; 186 ; 15 ;Alle optaget, ledige pladser;
1870;17415;Statskundskab, Odense M, Studiestart: sommerstart; 124 ; -   ; 450 ; 86 ;8,7;
1880;17420;Økonomi, Odense M, Studiestart: sommerstart; 50 ; -   ; 182 ; 45 ;Alle optaget, ledige pladser;
1890;17430;Market and Management Anthropology, Odense M, Study start: Summer start; 75 ; -   ; 263 ; 77 ;Alle optaget, ledige pladser;
1900;17510;Erhvervsøkonomi, HA, Odense M, Studiestart: sommerstart; 295 ; -   ; 770 ; 259 ;5,1;
1910;17520;Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart; 60 ; -   ; 318 ; 44 ;8,0;
1920;17530;Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart; 84 ; -   ; 201 ; 75 ;Alle optaget, ledige pladser;
1930;17610;Journalistik, Odense M, Studiestart: sommerstart; 105 ; -   ; 512 ; 195 ;100 % kvote 2;
1940;17815;Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart; 73 ; -   ; 169 ; 84 ;Alle optaget, ledige pladser;
1950;17820;Diplomingeniør, elektronik, Odense M, Studiestart: sommerstart; 25 ; -   ; 74 ; 27 ;Alle optaget, ledige pladser;
1960;17822;Bachelor of Engineering in Global Management and Manufacturing, Odense M, Study start: Summer start; 51 ; -   ; 159 ; 56 ;Alle optaget, ledige pladser;
1970;17825;Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart; 32 ; -   ; 101 ; 28 ;Alle optaget, ledige pladser;
1980;17830;Diplomingeniør, softwareteknologi, Odense M, Studiestart: sommerstart; 57 ; -   ; 188 ; 56 ;Alle optaget, ledige pladser;
1990;17835;Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart; 58 ; -   ; 128 ; 52 ;Alle optaget, ledige pladser;
2000;17840;Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart; 41 ; -   ; 109 ; 46 ;Alle optaget, ledige pladser;
2010;17845;Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart; 41 ; -   ; 100 ; 42 ;Alle optaget, ledige pladser;
2020;17850;Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart; 15 ; -   ; 66 ; 19 ;Alle optaget, ledige pladser;
2030;17855;Diplomingeniør, robotteknologi, Odense M, Studiestart: sommerstart; 43 ; -   ; 129 ; 45 ;Alle optaget, ledige pladser;
2040;17860;Teknisk videnskab (civilingeniør) Sundheds- og velfærdsteknologi, Odense M, Studiestart: sommerstart; 23 ; -   ; 91 ; 20 ;Alle optaget, ledige pladser;
2050;17865;Teknisk videnskab (civilingeniør) Spiludvikling og læringsteknologi, Odense M, Studiestart: sommerstart; 46 ; -   ; 118 ; 48 ;Alle optaget, ledige pladser;
