;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
1470;16030;Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 240 ;; 646 ; 199 ;Alle optaget, ledige pladser;
1480;16032;Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 61 ;; 226 ; 62 ;8,0;
1490;16035;Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 115 ;; 563 ; 187 ;Alle optaget;
1500;16040;Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 77 ;; 203 ; 60 ;Alle optaget, ledige pladser;
1510;16042;Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 15 ;; 47 ; 7 ;Alle optaget;
1520;;Roskilde Universitet i alt; 1.257 ;; 3.857 ; 1.235 ;;
1530;;Syddansk Universitet;;;;;;
1540;17010;Biologi, Odense M, Studiestart: sommerstart; 78 ;; 220 ; 62 ;Alle optaget;
1550;17015;Biomedicin, Odense M, Studiestart: sommerstart; 121 ;; 412 ; 65 ;Alle optaget;
1560;17020;Datalogi, Odense M, Studiestart: sommerstart; 75 ;; 193 ; 74 ;Alle optaget;
1570;17025;Farmaci, Odense M, Studiestart: sommerstart; 79 ;; 450 ; 90 ;Alle optaget;
1580;17040;Idræt og sundhed, Odense M, Studiestart: sommerstart; 91 ;; 227 ; 92 ;Alle optaget;
1590;17050;Matematik-økonomi, Odense M, Studiestart: sommerstart; 38 ;; 97 ; 35 ;Alle optaget;
1600;17064;Matematik og anvendt matematik, Odense M, Studiestart: sommerstart; 39 ;; 100 ; 37 ;Alle optaget;
1610;17070;Fysik, Odense M, Studiestart: sommerstart; 22 ;; 69 ; 23 ;Alle optaget;
1620;17080;Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart; 49 ;; 233 ; 48 ;Alle optaget;
1630;17085;Kemi, Odense M, Studiestart: sommerstart; 15 ;; 67 ; 16 ;Alle optaget;
